Perovskite,Tolerance_factor_old,Tolerance_factor_new,Temperature_K,Growth_K,A_source,A_amount_mmol,B1_source,B1_amount_mmol,B2_source,B2_amount_mmol,X_source,X_amount_mmol,Phosphine,Phosphine_amount_mmol,Amine,Amine_amount_mmol,Carboxylic_acid,Carboxylic_acid_amount_mmol,Solvent_I,S_I_amount_mL,Solvent_II,S_II_amount_mL,Total_amount,Bandgap,Bandgap_from,Time_min,Diameter_nm,Diameter_from,DOI,Articles
Cs4MnBi2Cl12,0.94,3.82,443,443,cesium_carbonate,0.12,manganese_II_chloride,0.26,bismuth_III_acetate,0.26,benzoyl_chloride,3.40,0,0.00,oleylamine,0.50,oleic_acid,1.50,octadecene,10.40,0,0.00,10.40,3.56,tauc_plot,0.50,11.60,TEM,10.1039/D0NR06771G,16
Cs4CdBi2Cl12,0.93,3.79,443,443,cesium_carbonate,0.12,cadmium_II_chloride,0.26,bismuth_III_acetate,0.26,benzoyl_chloride,3.40,0,0.00,oleylamine,0.50,oleic_acid,1.50,octadecene,10.40,0,0.00,10.40,3.49,tauc_plot,0.50,11.80,TEM,10.1039/D0NR06771G,16
Cs4CuSb2Cl12,1.02,4.16,453,453,cesium_carbonate,0.36,copper_II_acetate,0.13,antimony_III_acetate,0.25,chlorotrimethylsilane,1.98,0,0.00,oleylamine,1.25,oleic_acid,0.20,octadecene,5.00,0,0.00,5.00,1.79,tauc_plot,0.08,12.50,TEM,10.1021/jacs.0c04919,17
Cs2AgInCl6,0.94,3.79,378,378,cesium_carbonate,0.25,silver_acetate,0.24,indium_III_acetate,0.25,benzoyl_chloride,1.72,0,0.00,oleylamine,1.52,oleic_acid,3.17,diphenyl_ether,4.50,0,0.00,4.50,4.38,tauc_plot,0.08,9.80,TEM,10.1021/jacs.8b07983,18
Cs2AgBiBr6,0.89,3.96,433,433,cesium_acetate,0.71,silver_acetate,0.50,bismuth_III_acetate,0.50,bromotrimethylsilane,3.79,0,0.00,oleylamine,2.00,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,2.35,tauc_plot,0.50,10.00,TEM,10.1016/j.cplett.2021.138440,19
Cs2AgBiBr6,0.90,3.96,413,413,cesium_acetate,0.71,silver_acetate,0.50,bismuth_III_acetate,0.50,bromotrimethylsilane,2.70,0,0.00,oleylamine,1.87,oleic_acid,8.85,octadecene,10.00,0,0.00,10.00,2.33,tauc_plot,0.17,8.00,TEM,10.1021/acs.nanolett.7b04659,20
Cs2AgBiCl6,0.91,3.82,413,413,cesium_acetate,0.71,silver_acetate,0.50,bismuth_III_acetate,0.50,chlorotrimethylsilane,2.70,0,0.00,oleylamine,1.87,oleic_acid,8.85,octadecene,10.00,0,0.00,10.00,2.89,tauc_plot,0.17,8.20,TEM,10.1021/acs.nanolett.7b04659,20
Cs2AgInCl6,0.96,3.79,443,443,cesium_carbonate,0.40,silver_acetate,0.35,indium_III_acetate,0.70,chlorotrimethylsilane,14.27,0,0.00,oleylamine,3.04,oleic_acid,6.34,octadecene,20.00,hydrochloric_acid,0.20,20.20,4.60,tauc_plot,2.00,11.60,TEM,10.1039/d1se00754h,21
Cs4CdSb2Cl12,0.98,3.91,443,453,cesium_acetate,0.17,cadmium_II_acetate,0.25,antimony_III_acetate,0.50,chlorotrimethylsilane,3.14,0,0.00,oleylamine,2.00,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,3.15,tauc_plot,0.02,13.20,TEM,10.1002/adma.202007215,22
Cs4CdBi2Cl12,0.93,3.79,443,453,cesium_acetate,0.17,cadmium_II_acetate,0.25,bismuth_III_acetate,0.50,chlorotrimethylsilane,3.14,0,0.00,oleylamine,2.00,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,3.25,tauc_plot,0.02,11.40,TEM,10.1002/adma.202007215,22
