Perovskite,Tolerance_factor_old,Tolerance_factor_new,Temperature_K,Growth_K,A_source,A_amount_mmol,B1_source,B1_amount_mmol,B2_source,B2_amount_mmol,X_source,X_amount_mmol,Phosphine,Phosphine_amount_mmol,Amine,Amine_amount_mmol,Carboxylic_acid,Carboxylic_acid_amount_mmol,Solvent_I,S_I_amount_mL,Solvent_II,S_II_amount_mL,Total_amount,Bandgap,Bandgap_from,Time_min,Diameter_nm,Diameter_from,DOI,Articles
Cs2AgInCl6,0.94,3.79,443,453,cesium_acetate,0.71,silver_acetate,0.50,indium_III_acetate,0.50,germanium_IV_chloride,0.68,0,0.00,oleylamine,2.01,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,5.00,spectra,8.00,10.00,TEM,10.1021/acs.nanolett.1c03527,50
Cs4CuIn2Cl12,1.01,4.10,453,453,cesium_acetate,0.71,copper_II_acetate,0.25,indium_III_acetate,0.50,chlorotrimethylsilane,3.94,0,0.00,oleylamine,2.01,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,3.82,tauc_plot,1.00,17.10,TEM,10.1021/acs.nanolett.1c03822,51
Cs4CuIn2Cl12,1.01,4.10,453,453,cesium_acetate,0.71,copper_II_acetate,0.25,indium_III_acetate,0.50,chlorotrimethylsilane,3.94,0,0.00,oleylamine,2.01,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,3.56,tauc_plot,1.00,74.10,TEM,10.1021/acs.nanolett.1c03822,51
Cs4CuSb2Cl12,1.02,4.16,453,453,cesium_acetate,0.36,copper_II_acetate,0.13,antimony_III_acetate,0.25,chlorotrimethylsilane,1.97,0,0.00,oleylamine,2.01,oleic_acid,4.75,octadecene,5.00,0,0.00,5.00,1.81,tauc_plot,0.08,13.40,TEM,10.1039/d1tc05647f,52
Cs2HfCl6,1.04,4.27,473,473,cesium_acetate,0.71,just_one_B,0.00,hafnium_IV_acetylacetonate,0.71,chlorotrimethylsilane,3.15,0,0.00,oleylamine,1.87,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,4.00,spectra,5.00,20.00,TEM,10.1002/lpor.202100439,53
Cs3Bi2I9,0.89,4.17,453,453,cesium_carbonate,0.04,just_one_B,0.00,bismuth_III_iodide,0.38,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.30,octadecene,10.56,0,0.00,10.56,1.96,spectra,0.08,40.00,TEM,10.1021/acs.inorgchem.8b02887,54
Cs3Sb2Br9,1.00,4.31,483,483,cesium_carbonate,2.50,just_one_B,0.00,antimony_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,1.52,octanoic_acid,56.77,octadecene,22.50,0,0.00,22.50,2.64,spectra,0.50,37.00,TEM,10.1039/c9nr07722g,55
Cs3Bi2I9,0.89,4.17,393,393,cesium_carbonate,0.01,just_one_B,0.00,bismuth_III_iodide,0.01,from_metal_salt,0.00,0,0.00,oleylamine,0.46,oleic_acid,0.51,octadecene,1.67,0,0.00,1.67,2.53,spectra,0.50,39.50,TEM,10.1039/c7cc07223f,56
Cs3Bi2I9,0.89,4.17,453,453,cesium_carbonate,1.07,just_one_B,0.00,bismuth_III_iodide,0.17,from_metal_salt,0.00,0,0.00,oleylamine,24.31,oleic_acid,10.30,octadecene,30.00,0,0.00,30.00,2.86,tauc_plot,0.17,5.00,TEM,10.1021/acs.jpcc.8b03542,57
Rb3Bi2I9,0.86,4.39,453,453,rubidium_carbonate,1.52,just_one_B,0.00,bismuth_III_iodide,0.17,from_metal_salt,0.00,0,0.00,oleylamine,24.31,oleic_acid,10.30,octadecene,30.00,0,0.00,30.00,2.28,spectra,0.17,4.50,TEM,10.1021/acs.jpcc.8b03542,57
Cs3Bi2I9,0.89,4.17,433,433,cesium_acetate,0.13,just_one_B,0.00,bismuth_III_acetate,0.50,trimethylsilyl_iodide,1.76,0,0.00,oleylamine,0.56,oleic_acid,7.08,octadecene,3.80,0,0.00,3.80,2.58,spectra,0.25,24.90,TEM,10.1021/acs.chemmater.9b00640,58
Cs3Bi2Cl9,0.92,3.79,433,433,cesium_acetate,0.25,just_one_B,0.00,bismuth_III_acetate,0.50,chlorotrimethylsilane,3.94,0,0.00,oleylamine,0.93,oleic_acid,14.16,octadecene,7.60,0,0.00,7.60,3.44,spectra,0.25,22.50,TEM,10.1021/acs.chemmater.9b00640,58
Cs3Bi2Br9,0.91,3.94,433,433,cesium_acetate,0.25,just_one_B,0.00,bismuth_III_acetate,0.50,bromotrimethylsilane,3.79,0,0.00,oleylamine,0.93,oleic_acid,14.16,octadecene,7.60,0,0.00,7.60,2.88,spectra,0.25,22.50,TEM,10.1021/acs.chemmater.9b00640,58
Cs3Bi2Br9,0.91,3.94,483,483,cesium_carbonate,0.01,just_one_B,0.00,bismuth_III_bromide,0.30,from_metal_salt,0.00,0,0.00,oleylamine,30.39,oleic_acid,34.85,0,0.00,0,0.00,0.00,2.83,spectra,1.00,17.00,TEM,10.1016/j.jphotochem.2021.113460,59
Cs3Bi2Br9,0.91,3.94,483,483,cesium_carbonate,0.01,just_one_B,0.00,bismuth_III_bromide,0.30,from_metal_salt,0.00,0,0.00,oleylamine,30.39,oleic_acid,34.85,0,0.00,0,0.00,0.00,2.79,spectra,5.00,23.00,TEM,10.1016/j.jphotochem.2021.113460,59
Cs3Bi2Br9,0.91,3.94,483,483,cesium_carbonate,0.01,just_one_B,0.00,bismuth_III_bromide,0.30,from_metal_salt,0.00,0,0.00,oleylamine,30.39,oleic_acid,34.85,0,0.00,0,0.00,0.00,2.78,spectra,10.00,40.00,TEM,10.1016/j.jphotochem.2021.113460,59
Cs3Bi2I9,0.89,4.17,373,373,cesium_carbonate,0.01,just_one_B,0.00,bismuth_III_iodide,0.06,from_metal_salt,0.00,0,0.00,oleylamine,0.52,oleic_acid,0.57,octadecene,1.76,0,0.00,1.76,2.15,tauc_plot,5.00,18.00,TEM,10.1021/acs.jpclett.7b01381,60
Cs3Bi2Br9,0.91,3.94,443,443,cesium_carbonate,0.04,just_one_B,0.00,bismuth_III_bromide,0.10,from_metal_salt,0.00,trioctylphosphine,0.22,oleylamine,1.82,oleic_acid,1.90,octadecene,8.00,0,0.00,8.00,2.72,tauc_plot,2.00,70.00,TEM,10.1021/acsanm.0c02288,61
Cs3Bi2I9,0.89,4.17,453,453,cesium_carbonate,0.04,just_one_B,0.00,bismuth_III_iodide,0.10,from_metal_salt,0.00,0,0.00,oleylamine,2.13,oleic_acid,2.22,octadecene,8.00,0,0.00,8.00,1.97,tauc_plot,2.00,90.00,TEM,10.1021/acsanm.0c02288,61
Cs3Bi2Br9,0.91,3.94,393,393,cesium_acetate,0.71,just_one_B,0.00,bismuth_III_neodecanoate,1.00,benzoyl_bromide,8.42,0,0.00,oleylamine,5.77,oleic_acid,8.87,octadecene,11.00,0,0.00,11.00,2.74,tauc_plot,0.17,3.00,TEM,10.1166/jnn.2020.17495,62
Cs3Sb2Br9,1.00,4.31,453,453,cesium_carbonate,0.03,just_one_B,0.00,antimony_III_bromide,0.10,from_metal_salt,0.00,0,0.00,oleylamine,1.22,octanoic_acid,3.17,octadecene,10.27,oleic_acid,0.03,10.30,2.76,spectra,0.50,25.00,TEM,10.1080/15980316.2019.1664651,63
Cs3Sb2Br9,1.00,4.31,453,453,cesium_carbonate,0.03,just_one_B,0.00,antimony_III_bromide,0.10,from_metal_salt,0.00,0,0.00,oleylamine,1.22,octanoic_acid,3.17,octadecene,10.27,oleic_acid,0.03,10.30,2.76,spectra,1.00,25.00,TEM,10.1080/15980316.2019.1664651,63
Cs3Sb2Cl9,1.02,4.11,373,373,cesium_acetate,0.08,just_one_B,0.00,antimony_III_acetate,0.05,chlorotrimethylsilane,0.23,0,0.00,0,0.00,oleic_acid,1.58,dodecanol,5.00,0,0.00,5.00,3.15,tauc_plot,0.17,1.70,TEM,10.1021/acs.inorgchem.9b01893,64
Cs3Sb2Br9,1.00,4.31,373,373,cesium_acetate,0.08,just_one_B,0.00,antimony_III_acetate,0.05,bromotrimethylsilane,0.23,0,0.00,0,0.00,oleic_acid,1.58,dodecanol,5.00,0,0.00,5.00,2.53,tauc_plot,0.17,2.80,TEM,10.1021/acs.inorgchem.9b01893,64
Cs3Sb2I9,0.97,4.63,373,373,cesium_acetate,0.08,just_one_B,0.00,antimony_III_acetate,0.05,trimethylsilyl_iodide,0.23,0,0.00,0,0.00,oleic_acid,1.58,dodecanol,5.00,0,0.00,5.00,1.97,tauc_plot,0.17,2.30,TEM,10.1021/acs.inorgchem.9b01893,65
Cs3Bi2Cl9,0.92,3.79,373,373,cesium_acetate,0.08,just_one_B,0.00,bismuth_III_acetate,0.05,chlorotrimethylsilane,0.23,0,0.00,0,0.00,oleic_acid,1.58,dodecanol,5.00,0,0.00,5.00,3.09,tauc_plot,0.17,2.90,TEM,10.1021/acs.inorgchem.9b01893,65
Cs3Bi2Br9,0.91,3.94,373,373,cesium_acetate,0.08,just_one_B,0.00,bismuth_III_acetate,0.05,bromotrimethylsilane,0.23,0,0.00,0,0.00,oleic_acid,1.58,dodecanol,5.00,0,0.00,5.00,2.64,tauc_plot,0.17,3.80,TEM,10.1021/acs.inorgchem.9b01893,65
Cs3Bi2I9,0.89,4.17,373,373,cesium_acetate,0.08,just_one_B,0.00,bismuth_III_acetate,0.05,trimethylsilyl_iodide,0.23,0,0.00,0,0.00,oleic_acid,1.58,dodecanol,5.00,0,0.00,5.00,2.05,tauc_plot,0.17,2.30,TEM,10.1021/acs.inorgchem.9b01893,65
Cs3Sb2Br9,1.00,4.31,453,453,cesium_carbonate,0.03,just_one_B,0.00,antimony_III_bromide,0.10,from_metal_salt,0.00,0,0.00,oleylamine,1.22,octanoic_acid,3.17,octadecene,10.27,oleic_acid,0.03,10.30,2.76,spectra,5.00,100.00,TEM,10.1080/15980316.2019.1664651,66
Cs3BiCl6,0.92,3.79,433,433,cesium_acetate,1.00,just_one_B,0.00,bismuth_III_acetate,0.50,chlorotrimethylsilane,3.00,0,0.00,oleylamine,7.48,oleic_acid,7.08,octadecene,10.14,0,0.00,10.14,3.65,spectra,0.25,14.20,TEM,10.1021/acs.chemmater.9b00640,67
Cs3PrCl6,0.93,3.79,413,413,cesium_carbonate,0.12,just_one_B,0.00,praseodymium_III_chloride,0.40,from_metal_salt,0.00,0,0.00,oleylamine,6.08,oleic_acid,6.72,octadecene,21.88,0,0.00,21.88,2.40,spectra,0.17,12.19,TEM,10.1021/acsaelm.1c00422,68
Cs3InBr6,0.98,4.20,413,413,cesium_carbonate,5.00,just_one_B,0.00,indium_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,1.52,oleic_acid,17.42,octadecene,25.00,0,0.00,25.00,3.08,tauc_plot,0.17,20.50,TEM,10.1016/j.nantod.2021.101153,69
Cs2SnBr6,1.02,4.56,453,453,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_bromide,0.68,from_metal_salt,0.00,trioctylphosphine,2.24,oleylamine,1.82,oleic_acid,2.06,octadecene,10.75,0,0.00,10.75,3.78,tauc_plot,1.00,58.00,TEM,10.1021/acsanm.0c03273,70
Cs2SnCl6,1.04,4.34,493,493,cesium_carbonate,0.16,just_one_B,0.00,tin_II_chloride,0.36,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.67,octadecene,14.64,0,0.00,14.64,4.12,spectra,2.00,14.25,TEM,10.1021/acs.jpclett.9b03035,71
Cs2SnBr6,1.02,4.56,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_bromide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.61,oleic_acid,0.79,octadecene,5.45,0,0.00,5.45,3.33,tauc_plot,1.00,3.00,TEM,10.3389/felec.2021.703182,72
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_iodide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.61,oleic_acid,0.79,octadecene,5.45,0,0.00,5.45,1.57,tauc_plot,1.00,3.00,TEM,10.3389/felec.2021.703182,72
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_iodide,0.24,from_metal_salt,0.00,0,0.00,hexylamine,1.51,oleic_acid,0.79,octadecene,5.45,0,0.00,5.45,2.39,tauc_plot,1.00,10.00,TEM,10.3389/felec.2021.703182,72
K3SbCl6,0.95,4.19,413,413,potassium_carbonate,0.09,just_one_B,0.00,antimony_III_chloride,0.40,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.45,octadecene,10.71,0,0.00,10.71,3.78,spectra,0.50,15.30,TEM,10.1016/j.cej.2020.127415,73
K3SbCl6,0.95,4.19,433,433,potassium_carbonate,0.09,just_one_B,0.00,antimony_III_chloride,0.40,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.45,octadecene,10.71,0,0.00,10.71,3.78,spectra,0.50,15.80,TEM,10.1016/j.cej.2020.127415,73
K3SbCl6,0.95,4.19,453,453,potassium_carbonate,0.09,just_one_B,0.00,antimony_III_chloride,0.40,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.45,octadecene,10.71,0,0.00,10.71,3.78,spectra,0.50,16.20,TEM,10.1016/j.cej.2020.127415,73
Cs2SnI6,1.00,4.91,483,483,cesium_carbonate,0.04,just_one_B,0.00,tin_IV_iodide,0.19,from_metal_salt,0.00,0,0.00,0,0.00,oleic_acid,1.74,octadecene,8.35,0,0.00,8.35,1.92,tauc_plot,1.00,12.50,TEM,10.1088/1361-6528/ab13f6,74
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_iodide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.61,oleic_acid,0.79,octadecene,6.45,0,0.00,6.45,1.00,DFT,1.00,20.00,TEM,10.1016/j.cplett.2021.139023,75
Cs3InCl6,1.00,4.01,448,458,cesium_acetate,0.90,just_one_B,0.00,indium_III_acetate,0.45,chlorotrimethylsilane,3.94,0,0.00,oleylamine,1.98,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,2.61,spectra,0.02,14.00,TEM,10.1002/adom.202101344,76
Rb3InCl6,0.96,4.07,448,458,rubidium_acetate,0.90,just_one_B,0.00,indium_III_acetate,0.45,chlorotrimethylsilane,3.94,0,0.00,oleylamine,1.98,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,2.61,spectra,0.02,14.00,TEM,10.1002/adom.202101344,76
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_iodide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.76,oleic_acid,0.79,octadecene,6.40,0,0.00,6.40,1.67,spectra,0.25,2.86,TEM,10.3389/fchem.2020.00035,77
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_iodide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.76,oleic_acid,0.79,octadecene,6.40,0,0.00,6.40,1.57,tauc_plot,1.00,3.16,TEM,10.3389/fchem.2020.00035,77
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_iodide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.76,oleic_acid,0.79,octadecene,6.40,0,0.00,6.40,1.58,spectra,2.00,3.19,TEM,10.3389/fchem.2020.00035,77
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_iodide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.76,oleic_acid,0.79,octadecene,6.40,0,0.00,6.40,1.56,spectra,10.00,3.21,TEM,10.3389/fchem.2020.00035,77
Cs2SnBr6,1.02,4.56,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_bromide,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.76,oleic_acid,0.79,octadecene,6.40,0,0.00,6.40,3.33,tauc_plot,1.00,3.18,TEM,10.3389/fchem.2020.00035,77
Cs2SnCl6,1.04,4.34,493,493,cesium_carbonate,0.05,just_one_B,0.00,tin_IV_chloride,0.24,from_metal_salt,0.00,0,0.00,oleylamine,0.76,oleic_acid,0.79,octadecene,6.40,0,0.00,6.40,3.86,tauc_plot,1.00,6.40,TEM,10.3389/fchem.2020.00035,77
Cs4SnBr6,0.87,4.03,403,403,cesium_carbonate,0.20,just_one_B,0.00,tin_II_bromide,1.25,from_metal_salt,0.00,trioctylphosphine,2.69,oleylamine,0.61,oleic_acid,0.63,octadecene,0.20,0,0.00,0.20,3.37,spectra,1.00,20.00,TEM,10.1021/acs.jpclett.9b03685,78
Cs4SnBr6,0.87,4.03,483,483,cesium_carbonate,0.40,just_one_B,0.00,tin_II_bromide,2.50,from_metal_salt,0.00,trioctylphosphine,8.97,oleylamine,1.22,oleic_acid,1.27,octadecene,0.40,0,0.00,0.40,3.48,spectra,1.00,100.00,TEM,10.1021/acs.jpclett.1c02542,79
Cs2ZrCl6,1.03,4.23,473,473,cesium_acetate,0.71,just_one_B,0.00,zirconium_II_carbonate,1.42,chlorotrimethylsilane,3.15,0,0.00,oleylamine,1.90,oleic_acid,8.87,octadecene,10.00,acetic_acid,0.33,10.33,4.86,tauc_plot,0.17,21.30,TEM,10.1002/anie.202009101,80
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.08,just_one_B,0.00,tin_II_iodide,0.18,from_metal_salt,0.00,0,0.00,oleylamine,1.52,oleic_acid,1.84,octadecene,7.32,0,0.00,7.32,1.54,spectra,1.00,2.50,TEM,10.1021/acs.chemmater.6b01329,81
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.08,just_one_B,0.00,tin_II_iodide,0.18,from_metal_salt,0.00,0,0.00,oleylamine,1.52,oleic_acid,1.84,octadecene,7.32,0,0.00,7.32,1.48,spectra,5.00,3.00,TEM,10.1021/acs.chemmater.6b01329,81
Cs2SnI6,1.00,4.91,493,493,cesium_carbonate,0.08,just_one_B,0.00,tin_II_iodide,0.18,from_metal_salt,0.00,0,0.00,oleylamine,1.52,oleic_acid,1.84,octadecene,7.32,0,0.00,7.32,1.69,spectra,10.00,28.00,TEM,10.1021/acs.chemmater.6b01329,81
Cs2TiBr6,1.06,5.01,413,413,cesium_acetate,0.63,just_one_B,0.00,titanium_IV_isopropoxide,0.68,bromotrimethylsilane,4.13,0,0.00,0,0.00,oleic_acid,3.26,octadecene,2.00,0,0.00,2.00,2.00,tauc_plot,0.33,12.90,TEM,10.1039/d1tc01732b,82
Cs4SnI6,0.86,4.24,523,523,cesium_carbonate,0.03,just_one_B,0.00,tin_II_iodide,0.19,from_metal_salt,0.00,trioctylphosphine,1.12,oleylamine,0.30,oleic_acid,0.32,octadecene,5.00,0,0.00,5.00,3.00,DFT,0.25,18.00,TEM,10.1039/c9cc08216f,83
Cs4SnBr6,0.87,4.03,483,483,cesium_carbonate,0.03,just_one_B,0.00,tin_II_bromide,0.22,from_metal_salt,0.00,trioctylphosphine,1.12,oleylamine,0.30,oleic_acid,0.32,octadecene,5.00,0,0.00,5.00,3.33,DFT,1.00,19.00,TEM,10.1039/c9cc08216f,83
Cs4SnBr6,0.87,4.03,438,438,cesium_carbonate,0.25,just_one_B,0.00,tin_II_bromide,0.40,from_metal_salt,0.00,trioctylphosphine,0.90,oleylamine,0.15,oleic_acid,1.17,octadecene,13.16,0,0.00,13.16,3.48,tauc_plot,0.83,38.30,TEM,10.1039/D1NR06497E,84
Cs4SnI6,0.86,4.24,458,458,cesium_carbonate,0.25,just_one_B,0.00,tin_II_iodide,0.40,from_metal_salt,0.00,trioctylphosphine,0.90,oleylamine,1.28,oleic_acid,0.32,octadecene,13.16,0,0.00,13.16,3.11,tauc_plot,1.50,28.70,TEM,10.1039/D1NR06497E,84
Cs2TiBr6,1.06,5.01,363,363,cesium_carbonate,0.10,just_one_B,0.00,titanium_di_isopropoxide_bis(acetylacetonate),0.10,bromotrimethylsilane,4.57,0,0.00,oleylamine,2.00,oleic_acid,3.17,octadecene,8.00,0,0.00,8.00,2.05,tauc_plot,0.17,19.00,TEM,10.3390/nano11061458,85
Cs2TiBr6,1.06,5.01,408,408,cesium_carbonate,0.10,just_one_B,0.00,titanium_di_isopropoxide_bis(acetylacetonate),0.10,bromotrimethylsilane,4.57,0,0.00,oleylamine,2.00,oleic_acid,3.17,octadecene,8.00,0,0.00,8.00,2.00,tauc_plot,0.17,16.00,TEM,10.3390/nano11061458,85
Cs2TiBr6,1.06,5.01,458,458,cesium_carbonate,0.10,just_one_B,0.00,titanium_di_isopropoxide_bis(acetylacetonate),0.10,bromotrimethylsilane,4.57,0,0.00,oleylamine,2.00,oleic_acid,3.17,octadecene,8.00,0,0.00,8.00,1.90,tauc_plot,0.17,57.00,TEM,10.3390/nano11061458,85
Cs2TiBr6,1.06,5.01,518,518,cesium_carbonate,0.10,just_one_B,0.00,titanium_di_isopropoxide_bis(acetylacetonate),0.10,bromotrimethylsilane,4.57,0,0.00,oleylamine,2.00,oleic_acid,3.17,octadecene,8.00,0,0.00,8.00,1.85,tauc_plot,0.17,79.00,TEM,10.3390/nano11061458,85
Cs2TiCl6,1.08,4.76,458,458,cesium_carbonate,0.10,just_one_B,0.00,titanium_di_isopropoxide_bis(acetylacetonate),0.10,chlorotrimethylsilane,4.57,0,0.00,oleylamine,2.00,oleic_acid,3.17,octadecene,8.00,0,0.00,8.00,3.40,tauc_plot,0.17,31.00,TEM,10.3390/nano11061458,85
Cs3BiBr6,0.91,3.94,273,433,cesium_bromide,5.04,just_one_B,0.00,bismuth_III_bromide,0.56,from_metal_salt,0.00,0,0.00,oleylamine,4.56,oleic_acid,4.75,octadecene,20.00,0,0.00,20.00,3.05,spectra,60.00,14.20,TEM,10.1039/c9ra10106c,86
Cs3Cu2I5,0.97,4.59,343,343,cesium_carbonate,0.61,just_one_B,0.00,copper_I_iodide,6.00,from_metal_salt,0.00,0,0.00,oleylamine,18.24,oleic_acid,21.20,octadecene,107.30,0,0.00,107.30,3.92,tauc_plot,0.17,22.70,TEM,10.21203/rs.3.rs-798495/v1,87
Cs3Cu2I5,0.97,4.59,453,453,cesium_carbonate,0.40,just_one_B,0.00,copper_I_iodide,0.80,indium_III_iodide,0.40,0,0.00,oleylamine,2.43,oleic_acid,3.80,octadecene,11.60,0,0.00,11.60,4.30,spectra,0.33,30.00,TEM,10.1002/advs.202000195,88
Cs3Cu2Cl5,1.01,4.09,453,453,cesium_carbonate,1.50,just_one_B,0.00,copper_I_chloride,0.20,indium_III_chloride,0.40,0,0.00,oleylamine,3.04,oleic_acid,3.64,octadecene,5.60,0,0.00,5.60,4.38,spectra,0.33,24.00,TEM,10.1002/advs.202000195,88
Cs3Cu2Br5,0.99,4.28,473,473,cesium_carbonate,1.50,just_one_B,0.00,copper_I_bromide,0.20,indium_III_bromide,0.30,0,0.00,oleylamine,3.04,oleic_acid,3.64,octadecene,6.60,0,0.00,6.60,4.63,spectra,0.33,14.00,TEM,10.1002/advs.202000195,88
Cs3Cu2I5,0.97,4.59,373,373,cesium_carbonate,0.40,just_one_B,0.00,copper_I_iodide,0.80,zinc_iodide,1.20,0,0.00,oleylamine,4.56,oleic_acid,4.75,octadecene,15.00,0,0.00,15.00,4.42,tauc_plot,15.00,38.53,TEM,10.1039/d1qm00481f,89
Cs3Cu2Br5,0.99,4.28,373,373,cesium_carbonate,0.40,just_one_B,0.00,copper_I_bromide,1.25,zinc_bromide,1.20,0,0.00,oleylamine,4.56,oleic_acid,4.75,octadecene,15.00,0,0.00,15.00,4.35,tauc_plot,15.00,15.45,TEM,10.1039/d1qm00481f,89
Cs3Cu2Cl5,1.01,4.09,373,373,cesium_carbonate,0.40,just_one_B,0.00,copper_I_chloride,0.08,manganese_chloride,1.20,0,0.00,oleylamine,4.56,oleic_acid,4.75,octadecene,15.00,0,0.00,15.00,4.08,tauc_plot,15.00,23.80,TEM,10.1039/d1qm00481f,89
Cs2Cu3Br5,0.99,4.28,343,343,cesium_carbonate,0.18,just_one_B,0.00,copper_I_bromide,0.04,from_metal_salt,0.00,0,0.00,hexylamine,1.60,hexanoic_acid,3.12,octadecene,12.81,0,0.00,12.81,4.25,spectra,0.42,90.00,TEM,10.1021/acsanm.1c01642,90
Cs2Cu3Br5,0.99,4.28,343,343,cesium_carbonate,0.18,just_one_B,0.00,copper_I_bromide,0.04,from_metal_salt,0.00,0,0.00,nonylamine,1.60,nonanoic_acid,2.68,octadecene,12.81,0,0.00,12.81,4.37,spectra,0.42,25.00,TEM,10.1021/acsanm.1c01642,90
Cs2Cu3Br5,0.99,4.28,343,343,cesium_carbonate,0.18,just_one_B,0.00,copper_I_bromide,0.04,from_metal_salt,0.00,0,0.00,oleylamine,1.60,oleic_acid,2.20,octadecene,12.81,0,0.00,12.81,4.58,spectra,0.42,22.00,TEM,10.1021/acsanm.1c01642,90
Cs2Cu3Br5,0.99,4.28,343,343,cesium_carbonate,0.18,just_one_B,0.00,copper_I_bromide,0.04,from_metal_salt,0.00,0,0.00,oleylamine,1.60,nonanoic_acid,2.68,octadecene,12.81,0,0.00,12.81,4.40,spectra,0.42,32.40,TEM,10.1021/acsanm.1c01642,90
Cs3Cu2I5,0.97,4.59,383,383,cesium_carbonate,0.42,just_one_B,0.00,copper_I_iodide,1.22,from_metal_salt,0.00,0,0.00,oleylamine,9.12,oleic_acid,10.84,octadecene,21.78,0,0.00,21.78,4.10,tauc_plot,0.17,43.00,TEM,10.1021/acs.chemmater.9b03250,91
Cs3MnBr5,0.97,4.13,453,453,cesium_carbonate,2.46,just_one_B,0.00,manganese_II_acetate,1.42,bromooctadecane,2.93,0,0.00,oleylamine,3.04,oleic_acid,3.36,octadecene,10.74,0,0.00,10.74,3.35,spectra,1.00,95.70,TEM,10.1021/acssuschemeng.0c07911,92
CsSnI3,0.86,4.24,453,453,cesium_carbonate,0.03,just_one_B,0.00,tin_II_ethylhexanoate,2.47,trimethylsilyl_iodide,2.40,trioctylphosphine,0.77,oleylamine,0.61,oleic_acid,0.63,octadecene,6.00,0,0.00,6.00,1.87,spectra,1.00,26.00,TEM,10.1021/jacs.1c01049,93
CsSnI3,0.86,4.24,453,453,cesium_carbonate,0.03,just_one_B,0.00,tin_II_ethylhexanoate,3.46,trimethylsilyl_iodide,2.40,trioctylphosphine,0.77,oleylamine,0.61,oleic_acid,0.63,octadecene,6.00,0,0.00,6.00,1.87,spectra,1.00,33.00,TEM,10.1021/jacs.1c01049,93
CsSnI3,0.86,4.24,453,453,cesium_carbonate,0.03,just_one_B,0.00,tin_II_ethylhexanoate,3.95,trimethylsilyl_iodide,2.40,trioctylphosphine,0.77,oleylamine,0.61,oleic_acid,0.63,octadecene,6.00,0,0.00,6.00,1.87,spectra,1.00,37.00,TEM,10.1021/jacs.1c01049,93
CsGeI3,0.98,4.74,453,453,cesium_carbonate,0.01,just_one_B,0.00,germanium_II_iodide,0.08,from_metal_salt,0.00,0,0.00,oleylamine,0.61,oleic_acid,0.66,octadecene,5.19,0,0.00,5.19,1.60,tauc_plot,2.00,45.00,TEM,10.1002/asia.201800573,94
CsYbI3,0.90,4.17,453,453,cesium_carbonate,0.04,just_one_B,0.00,ytterbium_II_iodide,0.19,from_metal_salt,0.00,0,0.00,oleylamine,1.82,oleic_acid,2.06,octadecene,6.75,0,0.00,6.75,1.87,spectra,0.50,9.50,TEM,10.1002/adma.201901716,95
CsCdCl3,0.95,3.80,573,573,cesium_carbonate,0.14,just_one_B,0.00,cadmium_II_chloride,0.46,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,4.56,octadecene,10.96,0,0.00,10.96,5.13,tauc_plot,0.02,100.00,TEM,10.1021/acs.inorgchem.0c01574,96
